DATA_YEAR,STATE_ABBR,STATE_NAME,TOT_POP,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_DESC,TOTAL_OFFENDER_COUNT,OFFENDER_RACE,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES
2017,AK,Alaska,"739,795",Pacific,West,"Cities from 250,000 thru 499,999",1,Black or African American,1,Aggravated Assault,1,Amusement Park,Anti-White,Individual
2017,AK,Alaska,"739,795",Pacific,West,"Cities from 25,000 thru 49,999",1,American Indian or Alaska Native,1,Simple Assault,1,Residence/Home,Anti-White,Individual
2017,AK,Alaska,"739,795",Pacific,West,"Cities from 25,000 thru 49,999",0,Unknown,1,Destruction/Damage/Vandalism of Property,,School-College/University,Anti-Multiple Races,Government
2017,AK,Alaska,"739,795",Pacific,West,"Non-MSA counties 100,000 or over",0,Unknown,1,Destruction/Damage/Vandalism of Property,,Church/Synagogue/Temple/Mosque,Anti-Christian,Religious Organization
2017,AL,Alabama,"4,874,747",East South Central,South,"Cities from 50,000 thru 99,000",0,Unknown,1,Intimidation,1,Grocery/Supermarket,Anti-Hispanic/Latino,Individual
2017,AL,Alabama,"4,874,747",East South Central,South,"Cities from 50,000 thru 99,000",0,Unknown,1,Intimidation,1,Church/Synagogue/Temple/Mosque,Anti-Islamic,Individual
2017,AL,Alabama,"4,874,747",East South Central,South,"Cities from 50,000 thru 99,000",1,Black or African American,1,Intimidation,1,Commercial/Office Building,Anti-Hispanic/Latino,Individual
2017,AL,Alabama,"4,874,747",East South Central,South,"Cities from 50,000 thru 99,000",1,White,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Black,Individual
2017,AL,Alabama,"4,874,747",East South Central,South,"Cities from 50,000 thru 99,000",0,Unknown,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Black,Individual
2017,AL,Alabama,"4,874,747",East South Central,South,"Cities from 50,000 thru 99,000",1,White,1,Intimidation,1,Residence/Home,Anti-Black,Individual
2017,AL,Alabama,"4,874,747",East South Central,South,"Cities from 50,000 thru 99,000",1,White,1,Intimidation,1,Restaurant,Anti-Black,Individual
2017,AL,Alabama,"4,874,747",East South Central,South,"Cities under 2,500",1,Black or African American,1,Intimidation,1,School-College/University,Anti-White,Individual
2017,AL,Alabama,"4,874,747",East South Central,South,"Cities from 10,000 thru 24,999",1,Unknown,1,Intimidation,1,Residence/Home,Anti-Black,Individual
2017,AL,Alabama,"4,874,747",East South Central,South,"Cities from 10,000 thru 24,999",1,White,1,Intimidation,1,Residence/Home,Anti-Black,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Non-MSA counties from 10,000 thru 24,999",1,White,1,Aggravated Assault,1,Residence/Home,Anti-Disability,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"MSA counties from 25,000 thru 99,999",1,White,1,Intimidation,1,Residence/Home,Anti-White,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 2,500 thru 9,999",1,White,1,All Other Larceny,0,Convenience Store,Anti-White,Business
2017,AR,Arkansas,"3,004,279",West South Central,South,"Non-MSA counties from 10,000 thru 24,999",1,White,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Non-MSA counties under 10,000",1,White,1,Simple Assault,1,Government/Public Building,Anti-White,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 2,500 thru 9,999",1,Black or African American,1,Rape,1,Residence/Home,Anti-Black,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 2,500 thru 9,999",1,Black or African American,1,Aggravated Assault,2,Residence/Home,Anti-Black,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 2,500 thru 9,999",0,Unknown,1,Shoplifting,0,Residence/Home,Anti-Black,Other
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 2,500 thru 9,999",0,Unknown,1,Shoplifting,0,Highway/Road/Alley/Street/Sidewalk,Anti-Black,Other
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 2,500 thru 9,999",1,Black or African American,1,Shoplifting,0,Grocery/Supermarket,Anti-Black,Other
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 2,500 thru 9,999",0,Unknown,1,Shoplifting,0,Convenience Store,Anti-White,Other
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 2,500 thru 9,999",0,Unknown,1,Destruction/Damage/Vandalism of Property,0,Government/Public Building,Anti-Black,Other
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 2,500 thru 9,999",1,Black or African American,1,Rape,1,Residence/Home,Anti-Black,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 2,500 thru 9,999",0,Unknown,1,Simple Assault,1,Government/Public Building,Anti-Black,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 25,000 thru 49,999",0,Unknown,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Sexual Orientation/Identity,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 25,000 thru 49,999",0,Unknown,2,Burglary/Breaking & Entering;Destruction/Damage/Vandalism of Property,1,Highway/Road/Alley/Street/Sidewalk;Residence/Home,Anti-Black,Government;Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 25,000 thru 49,999",1,White,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Black,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 10,000 thru 24,999",0,Unknown,1,Intimidation,1,Residence/Home,Anti-White,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 10,000 thru 24,999",0,Unknown,2,Destruction/Damage/Vandalism of Property;Intimidation,1,Commercial/Office Building,Anti-Islamic,Business;Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 50,000 thru 99,000",1,White,1,Intimidation,1,Residence/Home,Anti-Black,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 50,000 thru 99,000",2,White,1,Simple Assault,1,Bar/Nightclub,Anti-Black,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 50,000 thru 99,000",2,Multiple,1,Intimidation,2,Highway/Road/Alley/Street/Sidewalk,Anti-Black,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 50,000 thru 99,000",0,Unknown,1,Destruction/Damage/Vandalism of Property,2,Convenience Store,Anti-Black,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Non-MSA counties from 10,000 thru 24,999",1,Black or African American,1,Aggravated Assault,1,Residence/Home,Anti-Sexual Orientation/Identity,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Non-MSA counties from 10,000 thru 24,999",0,Unknown,1,Burglary/Breaking & Entering,1,Other/Unknown,Anti-Multiple Races,Individual
2017,AR,Arkansas,"3,004,279",West South Central,South,"Cities from 50,000 thru 99,000",2,Black or African American,1,Robbery,1,Highway/Road/Alley/Street/Sidewalk,Anti-Sexual Orientation/Identity,Individual
2017,AZ,Arizona,"7,016,270",Mountain,West,"Non-MSA counties from 25,000 thru 99,999",1,White,1,Intimidation,1,Residence/Home,Anti-Multiple Races,Individual
2017,AZ,Arizona,"7,016,270",Mountain,West,"Non-MSA counties from 25,000 thru 99,999",1,Unknown,1,Intimidation,1,School-College/University,Anti-Multiple Races,Individual
2017,AZ,Arizona,"7,016,270",Mountain,West,"Cities from 2,500 thru 9,999",1,White,1,Intimidation,1,School/College,Anti-Black,Individual
2017,AZ,Arizona,"7,016,270",Mountain,West,"Cities from 2,500 thru 9,999",1,White,1,Intimidation,1,Other/Unknown,Anti-Hispanic/Latino,Individual
2017,AZ,Arizona,"7,016,270",Mountain,West,"Cities from 2,500 thru 9,999",1,American Indian or Alaska Native,1,"Human Trafficking, Commercial Sex Acts",1,School-Elementary/Secondary,Anti-Black,Individual
2017,AZ,Arizona,"7,016,270",Mountain,West,"MSA counties 100,000 or over",1,White,1,Simple Assault,1,Residence/Home,Anti-Sexual Orientation/Identity,Individual
2017,AZ,Arizona,"7,016,270",Mountain,West,"MSA counties 100,000 or over",0,Unknown,1,Destruction/Damage/Vandalism of Property,,Construction Site,Anti-Black,Society/Public
2017,AZ,Arizona,"7,016,270",Mountain,West,"MSA counties 100,000 or over",2,White,1,Simple Assault,1,Jail/Prison/Penitentiary/Corrections Facility,Anti-Sexual Orientation/Identity,Individual
2017,AZ,Arizona,"7,016,270",Mountain,West,"Cities from 50,000 thru 99,000",1,Black or African American,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Sexual Orientation/Identity,Individual
2017,AZ,Arizona,"7,016,270",Mountain,West,"Cities from 100,000 thru 249,000",0,Unknown,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Black,Individual
2017,AZ,Arizona,"7,016,270",Mountain,West,"Cities from 25,000 thru 49,999",0,Unknown,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Black,Individual
